¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬,√÷¿˙±‚ø¬,√÷∞Ì±‚ø¬,√÷¥Î «≥º”,∆Ú±’ ªÛ¥ÎΩ¿µµ
101,√·√µ,2020-01-30,2.5,-1.5,8.5,4.2,72
101,√·√µ,2020-01-31,3.1,-0.6,8.9,3.9,68.3
101,√·√µ,2020-02-01,0.4,-4,6.6,3.7,76
101,√·√µ,2020-02-02,0.5,-4.5,5.5,3.9,66
101,√·√µ,2020-02-03,0.4,-3.9,4.5,4.5,41.5
101,√·√µ,2020-02-04,-2.1,-9,4,4.4,59.5
101,√·√µ,2020-02-05,-6.8,-10.7,-2,4.5,42.1
101,√·√µ,2020-02-06,-6.4,-13,1.6,2.9,54.3
101,√·√µ,2020-02-07,-3.3,-9.7,3.2,2.9,59.1
101,√·√µ,2020-02-08,-1.3,-5.4,4.5,4.2,62.5
101,√·√µ,2020-02-09,-1.4,-9.1,4.5,4.5,57.6
101,√·√µ,2020-02-10,2.2,-4.1,10.2,3.8,60.9
101,√·√µ,2020-02-11,3,-5.5,13.5,2.2,56.5
101,√·√µ,2020-02-12,4.8,1.4,7.5,1.8,73
101,√·√µ,2020-02-13,7.3,2.7,13.2,3.4,81.1
101,√·√µ,2020-02-14,5.7,1.1,14.2,2.2,79.3
101,√·√µ,2020-02-15,7.6,0.8,14.5,5.5,73.1
101,√·√µ,2020-02-16,0.9,-3.8,7.6,6.4,76.4
101,√·√µ,2020-02-17,-4.8,-6.8,-2.7,4.6,63
101,√·√µ,2020-02-18,-4,-10,2.6,3.2,62.9
101,√·√µ,2020-02-19,-0.9,-7.8,6.7,2,65.8
101,√·√µ,2020-02-20,2.1,-4.1,10.9,2.4,71.3
101,√·√µ,2020-02-21,3.6,-1.8,9,2.3,76.6
101,√·√µ,2020-02-22,4.2,0.4,6.7,7,61
101,√·√µ,2020-02-23,2.1,-4,8.2,4.4,50.5
101,√·√µ,2020-02-24,5.1,-1.7,12.4,2.6,63.6
101,√·√µ,2020-02-25,4.4,1.6,7.5,4.5,84.6
101,√·√µ,2020-02-26,3.6,-0.9,8.5,4,76.5
101,√·√µ,2020-02-27,4.6,0.4,11,3,66
101,√·√µ,2020-02-28,2.3,-0.7,4.4,1.8,87.8
101,√·√µ,2020-02-29,6,2.5,11.7,2,79
